,date,Year,Month,Day,Hour,Temperature,Pressure,Humidity,Wind_Speed,Rainfall,Season,Weekend,Load,Temperature_seasonal,Pressure_seasonal,Humidity_seasonal,Wind_Speed_seasonal,Rainfall_seasonal,Season_seasonal
1645,2019-03-10 13:00:00,2019,3,10,13,15.5,1005.2,93.0,0.9,0.5,1,1,2097.6,2.1493864379084955,-1.0711474673202594,-9.082298815359488,0.33593199861466333,0.25424836601307205,0.00022058823529411717
1646,2019-03-10 14:00:00,2019,3,10,14,15.6,1005.1,94.0,0.5,0.0,1,1,2205.6,1.7731854575163397,-1.2729219771241862,-7.379823325163397,0.3220426124254048,0.32160130718954244,0.00036764705882353006
1647,2019-03-10 15:00:00,2019,3,10,15,15.5,1005.4,94.0,1.2,0.5,1,1,2251.2,1.3296070261437913,-1.2071033496732035,-5.401686070261441,0.29847920662830335,0.3195424836601303,0.0005147058823529412
1648,2019-03-10 16:00:00,2019,3,10,16,15.4,1005.7,91.0,0.9,0.5,1,1,2256.0,0.8216928104575175,-0.9209023692810454,-3.187029207516343,0.19821236945865292,0.06571895424836602,0.0006617647058823532
1649,2019-03-10 17:00:00,2019,3,10,17,15.4,1006.0,88.0,0.8,0.0,1,1,2210.4,0.3227761437908502,-0.5516940359477145,-0.8645292075163374,0.14150925777919876,0.017790032679738582,0.0008088235294117661
1650,2019-03-10 18:00:00,2019,3,10,18,15.6,1006.2,86.0,0.5,0.0,1,1,2316.0,-0.12128513071895396,-0.11521364379085197,0.8052502042483696,0.08488457747229328,-0.044256535947712373,0.0009558823529411779
1651,2019-03-10 19:00:00,2019,3,10,19,15.5,1007.7,83.0,1.3,0.0,1,1,2217.6,-0.34963316993463994,0.33931821895425035,1.9614511846405218,0.00949764226342715,-0.08424428104575166,0.0011029411764705882
1652,2019-03-10 20:00:00,2019,3,10,20,15.6,1008.5,82.0,1.0,0.0,1,1,2172.0,-0.536346405228758,0.6519162581699323,2.791255106209149,-0.011732430200340949,-0.13658496732026143,0.0012500000000000007
1653,2019-03-10 21:00:00,2019,3,10,21,15.3,1008.0,82.0,1.0,0.0,1,1,2104.8,-0.7113807189542476,0.7608035130718964,3.34990706699346,-0.06419779678175612,-0.15098447712418303,0.0013970588235294123
1654,2019-03-10 22:00:00,2019,3,10,22,15.7,1008.2,74.0,0.9,0.0,1,1,1814.4,-0.8740988562091505,0.6161613562091474,3.9116227532679737,-0.08572198689258327,-0.0737050653594771,0.0015441176470588221
1655,2019-03-10 23:00:00,2019,3,10,23,15.6,1007.0,75.0,1.2,0.0,1,1,1646.4,-1.0786846405228767,0.3328304738562107,4.728632557189544,-0.10829764759164529,-0.05083741830065355,0.0016911764705882348
1656,2019-03-11 00:00:00,2019,3,11,0,15.5,1007.1,78.0,0.6,0.0,1,0,1608.0,-1.2448611111111108,0.013242238562094154,5.425789419934637,-0.15549830829070743,-0.12718545751633992,-0.0016911764705882348
1657,2019-03-11 01:00:00,2019,3,11,1,15.9,1007.3,76.0,0.5,0.0,1,0,1588.8,-1.4119746732026153,-0.3130273692810458,6.007423406862743,-0.1891809951335605,-0.09920751633986927,-0.001544117647058825
1658,2019-03-11 02:00:00,2019,3,11,2,15.9,1006.7,77.0,0.8,0.0,1,0,1627.2,-1.5553431372549045,-0.5427357026143812,6.526385825163397,-0.23805240746660994,-0.10593545751633995,-0.001397058823529412
1659,2019-03-11 03:00:00,2019,3,11,3,15.7,1006.8,80.0,1.1,0.0,1,0,1627.2,-1.676471405228758,-0.5670469771241855,6.8854462826797285,-0.25086254528985535,-0.05857026143790847,-0.0012499999999999992
1660,2019-03-11 04:00:00,2019,3,11,4,15.6,1007.0,84.0,1.4,0.0,1,0,1651.2,-1.7752491830065344,-0.3522602124182998,7.187545955882354,-0.29166287919153194,0.02379493464052291,-0.0011029411764705897
1661,2019-03-11 05:00:00,2019,3,11,5,15.6,1007.4,84.0,1.4,0.0,1,0,1922.4,-1.8059264705882363,0.07571282679738603,7.2036652369281065,-0.2833406640736003,0.0008782679738562663,-0.0009558823529411768
1662,2019-03-11 06:00:00,2019,3,11,6,15.8,1008.2,83.0,1.6,0.0,1,0,2210.4,-1.3457875816993452,0.5591392973856166,5.639441380718949,-0.27139589993606145,-0.06673202614379084,-0.000808823529411764
1663,2019-03-11 07:00:00,2019,3,11,7,16.1,1009.1,80.0,1.3,0.0,1,0,4272.0,-0.5018913398692811,0.9629554738562119,2.1177665441176505,-0.18814476324950277,-0.041413398692810424,-0.0006617647058823545
1664,2019-03-11 08:00:00,2019,3,11,8,16.1,1009.3,76.0,1.8,0.0,1,0,5961.6,0.4710808823529417,1.210911356209149,-2.402192606209149,-0.024440195190394923,0.01859885620915035,-0.0005147058823529416
1665,2019-03-11 09:00:00,2019,3,11,9,16.4,1008.9,72.0,2.3,0.0,1,0,6199.2,1.3432246732026147,1.1468329248366056,-6.236955678104577,0.05935505914322254,0.02362336601307193,-0.0003676470588235292
